Team,Season,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,WOBA,WOBACON,Pitches,Batted Balls,Barrels,Barrel %,Hard Hit %,Exit Velocity,Launch Angle,XBA,XSLG,XWOBA,XWOBACON
Chicago White Sox,2024,"5,869","5,383","1,187",226,9,133,395,"1,403",0.221,0.278,0.34,0.272,0.323,"22,484","4,025",247,6.1,35.3,88,13.1,0.232,0.367,0.288,0.346
Cleveland Guardians,2024,"5,927","5,310","1,263",245,18,185,466,"1,196",0.238,0.307,0.395,0.306,0.345,"22,805","4,174",242,5.8,33.8,87.7,14.4,0.238,0.373,0.3,0.336
Cincinnati Reds,2024,"5,970","5,325","1,230",257,29,174,496,"1,459",0.231,0.305,0.388,0.303,0.359,"23,183","3,927",275,7,35.9,87.8,14,0.233,0.377,0.302,0.357
Washington Nationals,2024,"5,971","5,374","1,306",267,18,135,456,"1,220",0.243,0.309,0.375,0.3,0.339,"22,769","4,220",235,5.6,36.8,88.1,10.7,0.246,0.376,0.303,0.344
Los Angeles Angels,2024,"5,975","5,357","1,227",227,15,165,482,"1,416",0.229,0.301,0.369,0.296,0.345,"23,323","3,988",283,7.1,36.4,88.2,13,0.236,0.386,0.306,0.361
Kansas City Royals,2024,"5,982","5,421","1,343",264,35,170,429,"1,161",0.248,0.306,0.403,0.307,0.349,"22,755","4,337",322,7.4,40.5,89.5,13.8,0.254,0.418,0.318,0.364
Tampa Bay Rays,2024,"6,006","5,389","1,241",245,23,147,493,"1,485",0.23,0.302,0.366,0.294,0.349,"23,956","3,946",293,7.4,36.6,87.9,13.2,0.231,0.374,0.299,0.356
Detroit Tigers,2024,"6,021","5,442","1,273",244,47,162,476,"1,461",0.234,0.3,0.385,0.299,0.357,"23,763","4,026",305,7.6,38,88.6,14.5,0.239,0.394,0.306,0.367
Colorado Rockies,2024,"6,026","5,454","1,319",277,25,179,453,"1,617",0.242,0.304,0.4,0.306,0.385,"23,302","3,901",322,8.3,39.5,88.6,12.8,0.234,0.39,0.3,0.377
Oakland Athletics,2024,"6,034","5,432","1,267",240,19,196,493,"1,502",0.233,0.301,0.393,0.303,0.365,"23,171","3,986",340,8.5,39.2,89.2,13.8,0.236,0.403,0.309,0.375
Miami Marlins,2024,"6,048","5,522","1,347",243,23,150,403,"1,410",0.244,0.3,0.378,0.296,0.354,"22,820","4,177",296,7.1,36.8,88.2,9.7,0.242,0.387,0.299,0.359
Texas Rangers,2024,"6,053","5,472","1,302",220,15,176,490,"1,284",0.238,0.305,0.38,0.3,0.343,"23,201","4,224",312,7.4,38.9,88.6,13.9,0.244,0.395,0.309,0.355
Toronto Blue Jays,2024,"6,060","5,410","1,306",280,26,156,510,"1,233",0.241,0.313,0.389,0.307,0.345,"23,493","4,236",307,7.2,37,88.1,13.4,0.243,0.393,0.312,0.351
San Francisco Giants,2024,"6,062","5,460","1,303",266,30,177,492,"1,452",0.239,0.305,0.396,0.305,0.364,"23,806","4,065",351,8.6,39.7,89.3,14.3,0.242,0.409,0.313,0.376
Seattle Mariners,2024,"6,066","5,329","1,195",228,13,185,571,"1,625",0.224,0.311,0.376,0.303,0.365,"24,320","3,752",336,9,40.5,89.2,15.4,0.228,0.399,0.313,0.381
Atlanta Braves,2024,"6,075","5,481","1,333",273,15,213,485,"1,461",0.243,0.309,0.415,0.315,0.379,"23,955","4,068",411,10.1,42.6,89.9,13.8,0.247,0.437,0.326,0.395
Pittsburgh Pirates,2024,"6,086","5,477","1,283",236,17,160,485,"1,506",0.234,0.301,0.371,0.295,0.353,"23,732","4,034",332,8.2,40.1,89.1,11.7,0.242,0.393,0.308,0.373
San Diego Padres,2024,"6,103","5,526","1,456",259,18,190,458,"1,077",0.263,0.324,0.42,0.324,0.36,"23,637","4,508",321,7.1,38.6,89.1,13.2,0.271,0.429,0.331,0.371
Houston Astros,2024,"6,107","5,530","1,448",264,16,190,448,"1,176",0.262,0.322,0.418,0.321,0.366,"22,359","4,412",334,7.6,39,88.9,13.5,0.261,0.425,0.324,0.37
St. Louis Cardinals,2024,"6,114","5,507","1,363",257,21,165,478,"1,318",0.248,0.312,0.392,0.307,0.355,"23,977","4,253",287,6.7,38.2,88.7,13.1,0.249,0.399,0.313,0.363
Chicago Cubs,2024,"6,116","5,441","1,318",253,29,170,546,"1,362",0.242,0.317,0.393,0.311,0.358,"23,970","4,137",321,7.8,38.3,88.7,14.5,0.245,0.407,0.318,0.369
Minnesota Twins,2024,"6,123","5,490","1,352",309,23,183,473,"1,306",0.246,0.315,0.411,0.316,0.363,"23,382","4,241",327,7.7,38.3,88.8,15,0.247,0.411,0.318,0.367
Philadelphia Phillies,2024,"6,166","5,534","1,423",285,24,198,515,"1,370",0.257,0.325,0.425,0.325,0.383,"23,754","4,217",329,7.8,40.2,89.1,12.8,0.256,0.421,0.325,0.382
New York Mets,2024,"6,166","5,510","1,357",279,15,207,514,"1,382",0.246,0.319,0.415,0.32,0.373,"24,098","4,174",372,8.9,41.3,89.3,12.9,0.252,0.425,0.327,0.383
Milwaukee Brewers,2024,"6,170","5,472","1,359",249,33,177,597,"1,459",0.248,0.326,0.403,0.319,0.376,"24,893","4,062",293,7.2,38.6,88.6,11.5,0.243,0.395,0.314,0.369
Baltimore Orioles,2024,"6,176","5,567","1,391",262,33,235,489,"1,359",0.25,0.315,0.435,0.324,0.381,"24,121","4,259",381,8.9,42.4,89.7,14.5,0.253,0.433,0.328,0.386
Boston Red Sox,2024,"6,192","5,577","1,404",311,30,194,493,"1,570",0.252,0.319,0.423,0.321,0.396,"24,208","4,054",363,9,41,89.1,13.2,0.242,0.413,0.314,0.386
New York Yankees,2024,"6,245","5,450","1,352",243,15,237,672,"1,326",0.248,0.333,0.429,0.331,0.376,"24,962","4,195",442,10.5,42.4,90.1,12.7,0.257,0.452,0.345,0.397
Los Angeles Dodgers,2024,"6,255","5,522","1,423",291,26,233,602,"1,336",0.258,0.335,0.446,0.337,0.39,"24,779","4,247",391,9.2,41.3,89.4,15.5,0.259,0.444,0.339,0.393
Arizona Diamondbacks,2024,"6,284","5,522","1,452",271,37,211,569,"1,265",0.263,0.337,0.44,0.337,0.383,"24,532","4,357",346,7.9,39.1,89.1,12.8,0.257,0.422,0.332,0.376
MLB,2024,"182,448","163,686","39,823","7,771",697,"5,453","14,929","41,197",0.243,0.312,0.399,0.31,0.363,"709,510","124,202","9,716",7.8,38.9,88.8,13.3,0.245,0.405,0.315,0.37